BROKERCODE,BROKERACID,SYMBOLCODE,EXCHG,TRANTYPE,DATEPUR_ACQUI,SETDATE,QUANTITY,RATE,BROKERAGEPERSHARE,SERVICETAX,SETDATEFLAG,MKTRATE,CASHSYMBOLCODE,TRANEXPENSE,ACCRUEDINTEREST,BLOCKID,TRANSREF,DESCMEMO,CHEQUENO,CHEQUEDTL,MULTICURRENCYTRANFLAG,SETTLEMENTCASHSYMBOLCODE,EXCHGRATE,EXCHGRATEFLAG,TRFEXCHGRATE,CASHFLAG,BANKREF,CASHSETDATE
DHAN,SSFSAMSTE,INE205A01025,NSE,MSL,6/19/2026,6/19/2026,1058,300.25,0.1593,0.0287,F,0,CASH_INR,318,,,,7729260,,,Y,CASH_INR,,N,,C,,
DHAN,SSFSAMSTE,INE1CDF01017,NSE,MSL,6/19/2026,6/19/2026,952,460.022,0.2441,0.044,F,0,CASH_INR,438,,,,7729248,,,Y,CASH_INR,,N,,C,,
DHAN,SSFSAMSTE,INE694L01019,NSE,MSL,6/19/2026,6/19/2026,952,41.5,0.022,0.004,F,0,CASH_INR,40,,,,7729249,,,Y,CASH_INR,,N,,C,,
DHAN,SSFSAMSTE,INE1CLE01013,NSE,MSL,6/19/2026,6/19/2026,952,25.57,0.0136,0.0024,F,0,CASH_INR,24,,,,7729250,,,Y,CASH_INR,,N,,C,,
DHAN,SSFSAMSTE,INE704J01044,NSE,MSL,6/19/2026,6/19/2026,952,32.88,0.0174,0.0032,F,0,CASH_INR,31,,,,7729251,,,Y,CASH_INR,,N,,C,,
