BROKERCODE,BROKERACID,SYMBOLCODE,EXCHG,TRANTYPE,DATEPUR_ACQUI,SETDATE,QUANTITY,RATE,BROKERAGEPERSHARE,SERVICETAX,SETDATEFLAG,MKTRATE,CASHSYMBOLCODE,TRANEXPENSE,ACCRUEDINTEREST,BLOCKID,TRANSREF,DESCMEMO,CHEQUENO,CHEQUEDTL,MULTICURRENCYTRANFLAG,SETTLEMENTCASHSYMBOLCODE,EXCHGRATE,EXCHGRATEFLAG,TRFEXCHGRATE,CASHFLAG,BANKREF,CASHSETDATE
DHAN,B105S29D,INE572A01036,NSE,MSL,2/4/2026,2/4/2026,69,1958.9,1.0396,0.1875,F,0,CASH_INR,135,,,,125359,,,Y,CASH_INR,,N,,C,,
DHAN,B105S29D,INE465A01025,NSE,MSL,2/4/2026,2/4/2026,110,1646.2,0.8736,0.1576,F,0,CASH_INR,181,,,,125358,,,Y,CASH_INR,,N,,C,,
DHAN,B105S29D,INE463V01026,NSE,MBY,2/4/2026,2/4/2026,49,3195.7693,2.1655,0.3057,F,0,CASH_INR,157,,,,125357,,,Y,CASH_INR,,N,,C,,
