Broker Code,Broker Account,Parent Symbol,Exchange,Transaction Type,Transaction Date,Settlement date,Quantity,Rate,Brokerage per share,Service tax,Set date flag,Filler,Cash Symbol,STT,Filler,Block Id,Expiry date,Strike price,Option type,Series,BANKREF,DESCMEMO,MULTICURRENCYTRANFLAG,SETTLEMENTCASHSYMBOLCODE,EXCHGRATE,EXCHGRATEFLAG
IBKR,SSF000068,ES,CME,OSL,01-04-2026,01-04-2026,50,69,0.0284,0,F,0,CASH_USD,0,0,0,06-04-2026,6590,CE,OPTSTK,,,N,CASH_USD,,N
IBKR,SSF000068,ES,CME,CBY,01-04-2026,01-04-2026,50,61,0.0284,0,F,0,CASH_USD,0,0,0,01-04-2026,6550,CE,OPTSTK,,,N,CASH_USD,,N
IBKR,SSF000068,ES,CME,CBY,01-04-2026,01-04-2026,50,0,0,0,F,0,CASH_USD,0,0,0,01-04-2026,6420,PE,OPTSTK,,,N,CASH_USD,,N
IBKR,SSF000068,NQM5,CME,OSL,01-04-2026,01-04-2026,40,635,0.071,0,F,0,CASH_USD,0,0,0,06-04-2026,23600,CE,OPTSTK,,,N,CASH_USD,,N
IBKR,SSF000068,NQM5,CME,OSL,01-04-2026,01-04-2026,20,95,0.071,0,F,0,CASH_USD,0,0,0,06-04-2026,23600,PE,OPTSTK,,,N,CASH_USD,,N
IBKR,SSF000068,NQM5,CME,CBY,01-04-2026,01-04-2026,40,640,0.071,0,F,0,CASH_USD,0,0,0,01-04-2026,23500,CE,OPTSTK,,,N,CASH_USD,,N
IBKR,SSF000068,NQM5,CME,CBY,01-04-2026,01-04-2026,40,0,0,0,F,0,CASH_USD,0,0,0,01-04-2026,23450,PE,OPTSTK,,,N,CASH_USD,,N
