Broker Code,Broker Account,Parent Symbol,Exchange,Transaction Type,Transaction Date,Settlement date,Quantity,Rate,Brokerage per share,Service tax,Set date flag,Filler,Cash Symbol,STT,Filler,Block Id,Expiry date,Strike price,Option type,Series,BANKREF,DESCMEMO,MULTICURRENCYTRANFLAG,SETTLEMENTCASHSYMBOLCODE,EXCHGRATE,EXCHGRATEFLAG
CHOICE,S915F,SENSEX,BSE,MCB,02-04-26,02-04-26,200,0,0,0,F,0,CASH_INR,0,0,0,02-04-26,74500,CE,OPTIDX,,,Y,CASH_INR,,N
DHAN,S915F,NIFTY,NSE,MCS,02-04-26,02-04-26,650,50,0,0,F,0,CASH_INR,0,0,0,07-04-26,23000,CE,OPTIDX,,,Y,CASH_INR,,N
DHAN,S915F,SENSEX,BSE,MOS,02-04-26,02-04-26,300,200,0,0,F,0,CASH_INR,0,0,0,09-04-26,76000,CE,OPTIDX,,,Y,CASH_INR,,N
DHAN,S915F,SENSEX,BSE,MCB,02-04-26,02-04-26,200,2400,0,0,F,0,CASH_INR,0,0,0,09-04-26,74000,PE,OPTIDX,,,Y,CASH_INR,,N
DHAN,S915F,SENSEX,BSE,FSC,02-04-26,02-04-26,300,72350,0,0,F,0,CASH_INR,0,0,0,30-04-26,0,XX,FUTIDX,,,Y,CASH_INR,,N
DHAN,S915F,SENSEX,BSE,MOS,02-04-26,02-04-26,200,960,0,0,F,0,CASH_INR,0,0,0,09-04-26,72500,PE,OPTIDX,,,Y,CASH_INR,,N
DHAN,S915F,SENSEX,BSE,MCB,02-04-26,02-04-26,200,0,0,0,F,0,CASH_INR,0,0,0,02-04-26,74500,CE,OPTIDX,,,Y,CASH_INR,,N
